,AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AgesAllowed,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GenderNeutralRestrooms,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
44,,No,,Yes,,FullBar,,,,Yes,,,,No,,,,11:00 am - 2:00 am,,,No,Yes,,,Yes,No,Yes,11:00 am - 2:00 am,MusicVideos,Loud,,Yes,,11:00 am - 2:00 am,,11:00 am - 2:00 am,,No,11:00 am - 2:00 am,11:00 am - 2:00 am,,11:00 am - 2:00 am,,,MI Detroit Bricktown,Unclaimed,,briggs-detroit-detroit,42.3310203,-83.039469,Moderate,3.5,woodward-cocktail-bar-detroit,detroiter-bar-detroit,gigis-detroit-2,36,"SportsBars,BeerBar,GayBars",Briggs Detroit,https://www.yelp.com/biz/briggs-detroit-detroit?osq=food
45,,No,,Yes,,FullBar,Divey,Casual,"Thu,Fri,Sat",Yes,,,Yes,No,No,No,,11:00 am - 2:00 am,,Dinner,No,Yes,No,,Yes,No,Yes,11:00 am - 12:00 am,,Average,,No,"Street,PrivateLot",11:00 am - 2:00 am,No,Closed,Yes,Yes,11:00 am - 2:00 am,11:00 am - 12:00 am,Yes,11:00 am - 12:00 am,No,Free,MI Detroit Bricktown,Claimed,,jacobys-german-biergarten-detroit,42.3322901,-83.041867,Moderate,4.0,grand-trunk-pub-detroit-2,anchor-bar-detroit,the-old-shillelagh-detroit,217,"German,Pubs",Jacoby’s German Biergarten,https://www.yelp.com/biz/jacobys-german-biergarten-detroit?osq=food
46,,No,,Yes,,FullBar,Casual,Casual,"Tue,Wed,Sun",Yes,,,Yes,No,No,,,11:00 am - 2:00 am,,"Lunch,Dinner,LateNight",No,Yes,No,,Yes,No,Yes,11:00 am - 2:00 am,JukeBox,Average,,No,Street,11:00 am - 2:00 am,No,12:00 pm - 2:00 am,Yes,No,11:00 am - 2:00 am,11:00 am - 2:00 am,Yes,11:00 am - 2:00 am,No,No,MI Detroit Bricktown,Unclaimed,,sweetwater-tavern-detroit,42.3316661,-83.0417122,Moderate,3.5,grand-trunk-pub-detroit-2,jacobys-german-biergarten-detroit,joe-muer-seafood-detroit,333,"American(New),Bars,American(Traditional)",Sweetwater Tavern,https://www.yelp.com/biz/sweetwater-tavern-detroit?osq=food
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bricktown,Unclaimed,,food-plaza-detroit-2,42.3315166,-83.0420078,,5.0,food-plaza-detroit-2,university-village-market-detroit-2,rite-aid-detroit-5,1,ConvenienceStores,Food Plaza,https://www.yelp.com/biz/food-plaza-detroit-2?osq=food
48,,No,,Yes,,,,,,Yes,,,,,,,,7:00 am - 2:00 am,,,,,,,,,,7:00 am - 2:00 am,,,,,,7:00 am - 2:00 am,,7:00 am - 12:00 am,Yes,,7:00 am - 2:00 am,7:00 am - 2:00 am,,7:00 am - 2:00 am,,,MI Detroit Bricktown,Unclaimed,,city-market-detroit,42.3315748,-83.0418196,Moderate,4.5,forest-liquor-detroit,honey-bee-la-colmena-detroit,e-and-l-supermercado-detroit,8,"Beer,Wine&Spirits,Grocery,MeatShops",City Market,https://www.yelp.com/biz/city-market-detroit?osq=food
49,,,,Yes,,,,Casual,,No,,,,,No,,,11:00 am - 4:00 pm,,,,Yes,No,,,,Yes,11:00 am - 2:00 am,,,,Yes,,11:00 am - 4:00 pm,,11:00 am - 2:00 am,Yes,Yes,11:00 am - 2:00 am,11:00 am - 2:00 am,,11:00 am - 2:00 am,,,MI Detroit Bricktown,Unclaimed,,locos-tex-mex-grille-detroit,42.333758515946,-83.0420716063488,Moderate,2.5,mexicantown-detroit,los-galanes-detroit,mexican-town-restaurant-detroit,16,Tex-Mex,Loco’s Tex-Mex Grille,https://www.yelp.com/biz/locos-tex-mex-grille-detroit?osq=food
50,,No,,Yes,,FullBar,Casual,Casual,,Yes,,,Yes,,No,,,10:00 am - 4:00 am,,"Dinner,LateNight",,Yes,Yes,,,,Yes,10:00 am - 2:00 am,,Average,,Yes,Street,10:00 am - 4:00 am,,10:00 am - 2:00 am,Yes,No,10:00 am - 2:00 am,10:00 am - 2:00 am,Yes,10:00 am - 2:00 am,Yes,No,MI Detroit Bricktown,Claimed,,nikis-pizza-detroit,42.3337210606674,-83.04200186272,Moderate,3.5,pizzapapalis-detroit,plakas-detroit,golden-fleece-restaurant-detroit,144,"Pizza,Greek",Niki’s Pizza,https://www.yelp.com/biz/nikis-pizza-detroit?osq=food
51,,,,Yes,,FullBar,Divey,Casual,"Thu,Fri,Sat",Yes,,,,No,No,,,11:00 am - 2:00 am,,,No,Yes,No,,Yes,No,Yes,11:00 am - 2:00 am,Background,Average,,Yes,Street,11:00 am - 2:00 am,No,11:00 am - 2:00 am,Yes,No,11:00 am - 2:00 am,11:00 am - 2:00 am,,11:00 am - 2:00 am,No,,MI Detroit Bricktown,Claimed,,detroiter-bar-detroit,42.3330382,-83.0414814,Inexpensive,3.5,grand-trunk-pub-detroit-2,sweetwater-tavern-detroit,firebird-tavern-detroit,67,"DiveBars,SportsBars,American(New)",Detroiter Bar,https://www.yelp.com/biz/detroiter-bar-detroit?osq=food
52,,,,Yes,,,Divey,Casual,,No,,,Yes,,Yes,,,8:00 am - 4:00 pm,,,,Yes,Yes,,,,No,8:00 am - 4:00 pm,,Average,,No,,Closed,,Closed,Yes,No,8:00 am - 4:00 pm,8:00 am - 4:00 pm,,8:00 am - 4:00 pm,,No,MI Detroit Bricktown,Claimed,,nathans-deli-detroit,42.3317118,-83.0386326,Inexpensive,4.0,hygrade-deli-detroit,mikes-famous-ham-place-detroit,lous-deli-detroit,13,Delis,Nathan’s Deli,https://www.yelp.com/biz/nathans-deli-detroit?osq=food
53,,No,,Yes,,FullBar,,Casual,"Wed,Fri,Sat",Yes,,,Yes,Yes,No,,,4:00 pm - 2:00 am,,"Dinner,LateNight",Yes,Yes,No,,Yes,No,Yes,4:00 pm - 12:00 am,"DJ,Live",VeryLoud,,No,"Valet,Street",7:00 pm - 2:00 am,No,7:00 pm - 2:00 am,Yes,No,4:00 pm - 2:00 am,4:00 pm - 2:00 am,Yes,4:00 pm - 2:00 am,Yes,No,MI Detroit Bricktown,Unclaimed,,floods-bar-and-grille-detroit,42.3343127,-83.0404362,Moderate,3.5,bakers-keyboard-lounge-detroit,cliff-bells-detroit,centaur-bar-detroit,56,"American(Traditional),SoulFood,Bars",Floods Bar & Grille,https://www.yelp.com/biz/floods-bar-and-grille-detroit?osq=food
