City,State,total_business
BROCKTON,MA,1720
AVON,MA,2381
BRIDGEWATER,MA,251
BRYANTVILLE,MA,1268
CARVER,MA,574
DUXBURY,MA,698
EAST BRIDGEWATER,MA,416
EASTON,MA,1686
ELMWOOD,MA,1266
HALIFAX,MA,119
HANOVER,MA,1713
HANSON,MA,1474
HOLBROOK,MA,2524
MIDDLEBORO,MA,3836
MANOMET,MA,2360
LAKEVILLE,MA,605
MONPONSETT,MA,142
ABINGTON,MA,1831
NORTH CARVER,MA,580
NORTH EASTON,MA,1750
NORTH PEMBROKE,MA,246
PEMBROKE,MA,1072
PLYMOUTH,MA,440
KINGSTON,MA,642
SOUTH CARVER,MA,2771
PLYMPTON,MA,800
RANDOLPH,MA,692
ROCKLAND,MA,2004
SOUTH EASTON,MA,139
WEST BRIDGEWATER,MA,1358
WHITE HORSE BEACH,MA,2262
WHITMAN,MA,107
LEXINGTON,MA,7515
BROOKLINE,MA,8299
BROOKLINE VILLAGE,MA,215
WALTHAM,MA,7721
NORTH WALTHAM,MA,1558
NEW TOWN,MA,2245
BABSON PARK,MA,932
NEWTON,MA,8112
NEWTON CENTER,MA,603
NEWTONVILLE,MA,702
NEWTON HIGHLANDS,MA,434
NEWTON LOWER FALLS,MA,302
NEWTON UPPER FALLS,MA,153
WEST NEWTON,MA,589
AUBURNDALE,MA,423
CHESTNUT HILL,MA,940
WABAN,MA,372
WATERTOWN,MA,8267
ARLINGTON,MA,8087
ARLINGTON HEIGHTS,MA,393
BELMONT,MA,8273
WAVERLEY,MA,3307
WELLESLEY HILLS,MA,861
WELLESLEY,MA,4851
NEEDHAM,MA,7486
WESTON,MA,757
NEEDHAM HEIGHTS,MA,1239
NONANTUM,MA,652
BUZZARDS BAY,MA,170
CATAUMET,MA,44
CHILMARK,MA,144
EAST FALMOUTH,MA,221
EAST SANDWICH,MA,575
EAST WAREHAM,MA,190
EDGARTOWN,MA,207
FALMOUTH,MA,427
WOODS HOLE,MA,168
MENEMSHA,MA,100
MONUMENT BEACH,MA,168
NANTUCKET,MA,139
NORTH FALMOUTH,MA,84
OAK BLUFFS,MA,347
ONSET,MA,180
POCASSET,MA,541
SAGAMORE,MA,157
SAGAMORE BEACH,MA,61
SANDWICH,MA,1718
SIASCONSET,MA,11
SILVER BEACH,MA,95
VINEYARD HAVEN,MA,106
WAREHAM,MA,460
WEST CHOP,MA,99
WEST FALMOUTH,MA,160
WEST TISBURY,MA,1121
WEST WAREHAM,MA,111
HYANNIS,MA,361
BARNSTABLE,MA,646
BREWSTER,MA,575
CENTERVILLE,MA,290
CHATHAM,MA,380
COTUIT,MA,135
CUMMAQUID,MA,93
DENNIS,MA,720
DENNIS PORT,MA,256
EAST DENNIS,MA,223
EASTHAM,MA,252
EAST ORLEANS,MA,146
FORESTDALE,MA,173
HARWICH,MA,546
HARWICH PORT,MA,226
HYANNIS PORT,MA,203
MARSTONS MILLS,MA,698
MASHPEE,MA,707
NORTH CHATHAM,MA,73
NORTH EASTHAM,MA,258
NORTH TRURO,MA,207
ORLEANS,MA,488
OSTERVILLE,MA,243
PROVINCETOWN,MA,202
SOUTH CHATHAM,MA,69
SOUTH DENNIS,MA,761
SOUTH HARWICH,MA,198
SOUTH ORLEANS,MA,448
SOUTH WELLFLEET,MA,89
SOUTH YARMOUTH,MA,351
TRURO,MA,211
WELLFLEET,MA,315
WEST BARNSTABLE,MA,261
WEST CHATHAM,MA,141
WEST DENNIS,MA,308
WEST HARWICH,MA,716
WEST HYANNISPORT,MA,659
WEST YARMOUTH,MA,394
YARMOUTH PORT,MA,459
ASSONET,MA,964
ATTLEBORO,MA,2503
CHARTLEY,MA,2107
CUTTYHUNK,MA,48
DARTMOUTH,MA,2608
DIGHTON,MA,1216
EAST FREETOWN,MA,935
EAST TAUNTON,MA,243
FAIRHAVEN,MA,408
FALL RIVER,MA,971
SOMERSET,MA,1186
MARION,MA,717
MATTAPOISETT,MA,665
NEW BEDFORD,MA,614
ACUSHNET,MA,602
NORTH DARTMOUTH,MA,835
SOUTH DARTMOUTH,MA,74
NORTH ATTLEBORO,MA,2335
PLAINVILLE,MA,1661
ATTLEBORO FALLS,MA,206
NORTH DIGHTON,MA,953
NORTON,MA,1435
RAYNHAM,MA,976
RAYNHAM CENTER,MA,299
REHOBOTH,MA,2512
ROCHESTER,MA,662
SEEKONK,MA,3189
SWANSEA,MA,5553
BERKLEY,MA,869
TAUNTON,MA,779
WESTPORT,MA,1098
WESTPORT POINT,MA,8469
ADAMSVILLE,RI,1006
ALBION,RI,30
ASHAWAY,RI,181
BARRINGTON,RI,3087
BLOCK ISLAND,RI,57
BRADFORD,RI,184
BRISTOL,RI,331
CAROLINA,RI,538
CHARLESTOWN,RI,452
CHEPACHET,RI,73
CLAYVILLE,RI,37
COVENTRY,RI,1838
WEST GREENWICH,RI,4413
EAST GREENWICH,RI,1300
EXETER,RI,4183
FISKEVILLE,RI,64
FORESTDALE,RI,1287
FOSTER,RI,3977
GLENDALE,RI,37
GREENE,RI,248
GREENVILLE,RI,2500
HARMONY,RI,43
HARRISVILLE,RI,36
HOPE,RI,62
HOPE VALLEY,RI,45
HOPKINTON,RI,2212
JAMESTOWN,RI,795
KENYON,RI,10
LITTLE COMPTON,RI,562
MANVILLE,RI,178
MAPLEVILLE,RI,88
NEWPORT,RI,734
MIDDLETOWN,RI,787
NORTH KINGSTOWN,RI,1348
NORTH SCITUATE,RI,41
OAKLAND,RI,30
PASCOAG,RI,68
PAWTUCKET,RI,2944
CENTRAL FALLS,RI,181
CUMBERLAND,RI,2526
LINCOLN,RI,2635
PORTSMOUTH,RI,1309
PRUDENCE ISLAND,RI,1622
ROCKVILLE,RI,37
SAUNDERSTOWN,RI,225
SHANNOCK,RI,84
SLATERSVILLE,RI,58
SLOCUM,RI,26
TIVERTON,RI,1235
WAKEFIELD,RI,129
KINGSTON,RI,215
NARRAGANSETT,RI,671
PEACE DALE,RI,80
WARREN,RI,144
WARWICK,RI,2676
WESTERLY,RI,464
WEST KINGSTON,RI,42
WEST WARWICK,RI,612
WOOD RIVER JUNCTION,RI,410
WOONSOCKET,RI,306
NORTH SMITHFIELD,RI,2086
WYOMING,RI,29
PROVIDENCE,RI,2982
CRANSTON,RI,2900
NORTH PROVIDENCE,RI,2893
EAST PROVIDENCE,RI,3121
RIVERSIDE,RI,1556
RUMFORD,RI,474
SMITHFIELD,RI,2573
JOHNSTON,RI,2740
AMHERST,NH,954
AUBURN,NH,807
BROOKLINE,NH,574
CANDIA,NH,2371
CHESTER,NH,718
DEERFIELD,NH,2012
DERRY,NH,3429
EAST CANDIA,NH,10
EAST DERRY,NH,108
EPPING,NH,358
FRANCESTOWN,NH,138
FREMONT,NH,362
GOFFSTOWN,NH,622
DUNBARTON,NH,1428
GREENFIELD,NH,124
GREENVILLE,NH,205
HOLLIS,NH,171
HUDSON,NH,1300
LITCHFIELD,NH,1169
LONDONDERRY,NH,1327
MERRIMACK,NH,1165
MILFORD,NH,654
MONT VERNON,NH,491
NASHUA,NH,1270
NEW BOSTON,NH,223
NEW IPSWICH,NH,215
NORTH SALEM,NH,4413
PELHAM,NH,1775
RAYMOND,NH,240
SALEM,NH,1576
LYNDEBOROUGH,NH,202
TEMPLE,NH,194
WILTON,NH,199
WINDHAM,NH,1557
MANCHESTER,NH,836
HOOKSETT,NH,1569
BEDFORD,NH,936
WATERVILLE VALLEY,NH,443
ANDOVER,NH,639
ASHLAND,NH,215
BARNSTEAD,NH,1024
BELMONT,NH,214
BRADFORD,NH,355
BRISTOL,NH,115
CAMPTON,NH,394
CANTERBURY,NH,764
CENTER BARNSTEAD,NH,92
CENTER HARBOR,NH,182
CENTER SANDWICH,NH,13
CONTOOCOOK,NH,27
DANBURY,NH,509
EAST ANDOVER,NH,108
ELKINS,NH,14
EPSOM,NH,261
FRANKLIN,NH,196
GILMANTON,NH,759
GLENCLIFF,NH,13
GRAFTON,NH,511
HEBRON,NH,93
HENNIKER,NH,90
HILL,NH,520
HILLSBOROUGH,NH,85
HOLDERNESS,NH,193
LACONIA,NH,272
GILFORD,NH,295
LINCOLN,NH,1391
LOCHMERE,NH,232
MEREDITH,NH,553
MOULTONBOROUGH,NH,126
NEWBURY,NH,68
NEW HAMPTON,NH,473
NEW LONDON,NH,78
CHICHESTER,NH,273
NORTH SANDWICH,NH,83
NORTH SUTTON,NH,68
NORTHWOOD,NH,2035
NORTH WOODSTOCK,NH,52
PITTSFIELD,NH,155
PLYMOUTH,NH,130
RUMNEY,NH,430
SALISBURY,NH,670
SANBORNTON,NH,740
SOUTH NEWBURY,NH,9
SOUTH SUTTON,NH,74
STINSON LAKE,NH,67
SUNCOOK,NH,125
TILTON,NH,209
WARNER,NH,989
WARREN,NH,370
WASHINGTON,NH,446
WEARE,NH,215
WENTWORTH,NH,404
SPRINGFIELD,NH,68
THORNTON,NH,313
WILMOT,NH,570
WINNISQUAM,NH,49
NOTTINGHAM,NH,2323
WEST NOTTINGHAM,NH,16
WOODSTOCK,NH,259
CONCORD,NH,294
BOW,NH,594
LOUDON,NH,959
KEENE,NH,158
ANTRIM,NH,651
ASHUELOT,NH,14
BENNINGTON,NH,101
CHESTERFIELD,NH,508
DUBLIN,NH,118
SULLIVAN,NH,139
SWANZEY,NH,704
FITZWILLIAM,NH,180
GILSUM,NH,170
HANCOCK,NH,95
HARRISVILLE,NH,187
HINSDALE,NH,203
JAFFREY,NH,67
MARLBOROUGH,NH,176
MARLOW,NH,3903
NELSON,NH,183
PETERBOROUGH,NH,61
RINDGE,NH,149
SPOFFORD,NH,502
STODDARD,NH,111
TROY,NH,200
WEST CHESTERFIELD,NH,110
WESTMORELAND,NH,264
WEST PETERBOROUGH,NH,57
WEST SWANZEY,NH,114
WINCHESTER,NH,688
LITTLETON,NH,46
BERLIN,NH,45
BETHLEHEM,NH,913
BRETTON WOODS,NH,20
COLEBROOK,NH,51
ERROL,NH,10
FRANCONIA,NH,77
GORHAM,NH,42
GROVETON,NH,128
NORTHUMBERLAND,NH,145
JEFFERSON,NH,162
LANCASTER,NH,162
LISBON,NH,262
SUGAR HILL,NH,75
MILAN,NH,113
MOUNT WASHINGTON,NH,41
NORTH STRATFORD,NH,10
PITTSBURG,NH,382
RANDOLPH,NH,134
TWIN MOUNTAIN,NH,8
WEST STEWARTSTOWN,NH,25
WHITEFIELD,NH,91
ACWORTH,NH,98
ALSTEAD,NH,541
CHARLESTOWN,NH,356
DREWSVILLE,NH,76
LEMPSTER,NH,80
SOUTH ACWORTH,NH,69
WALPOLE,NH,517
NORTH WALPOLE,NH,45
BATH,NH,68
CANAAN,NH,404
CLAREMONT,NH,134
CORNISH,NH,505
CORNISH FLAT,NH,220
ENFIELD,NH,447
ENFIELD CENTER,NH,126
ETNA,NH,197
GEORGES MILLS,NH,65
GOSHEN,NH,104
GRANTHAM,NH,158
GUILD,NH,103
HANOVER,NH,197
LEBANON,NH,197
HAVERHILL,NH,268
LYME,NH,314
LYME CENTER,NH,103
MERIDEN,NH,471
MONROE,NH,259
