AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AgesAllowed,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GenderNeutralRestrooms,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,livernois-fresh-fish-and-seafood-detroit,42.4252190407,-83.1409432815,None,5.0,None,None,None,1,Seafood,Livernois Fresh Fish And Seafood,https://www.yelp.com/biz/livernois-fresh-fish-and-seafood-detroit?osq=food
None,None,None,No,None,No,None,None,None,No,None,None,No,None,No,None,None,None,None,None,None,No,No,None,None,None,No,None,None,Loud,None,No,None,None,None,None,Yes,No,None,None,No,None,None,No,MI Detroit Bagley,Unclaimed,None,little-caesars-pizza-detroit-17,42.4186139,-83.1405516,1.0,1.0,stop-spot-lounge-ferndale,greggs-pizza-and-bar-b-que-detroit,primos-pizza-oak-park,3,Pizza,Little Caesar’s Pizza,https://www.yelp.com/biz/little-caesars-pizza-detroit-17?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,miley-and-miley-shrimp-sack-detroit,42.4182481,-83.1413158,None,None,greggs-pizza-and-bar-b-que-detroit,scotty-simpsons-fish-and-chips-detroit,kitchen-hanzo-west-bloomfield,None,None,Miley & Miley Shrimp Sack,https://www.yelp.com/biz/miley-and-miley-shrimp-sack-detroit?osq=food
None,No,None,Yes,None,FullBar,None,None,None,Yes,None,None,None,No,None,None,None,11:00 am - 2:00 am,None,None,No,Yes,None,None,Yes,No,Yes,11:00 am - 2:00 am,MusicVideos,Loud,None,Yes,None,11:00 am - 2:00 am,None,11:00 am - 2:00 am,None,No,11:00 am - 2:00 am,11:00 am - 2:00 am,None,11:00 am - 2:00 am,None,None,MI Detroit Bricktown,Unclaimed,None,briggs-detroit-detroit,42.3310203,-83.039469,2.0,3.5,woodward-cocktail-bar-detroit,detroiter-bar-detroit,gigis-detroit-2,36,"SportsBars,BeerBar,GayBars",Briggs Detroit,https://www.yelp.com/biz/briggs-detroit-detroit?osq=food
None,No,None,Yes,None,FullBar,Divey,Casual,"Thu,Fri,Sat",Yes,None,None,Yes,No,No,No,None,11:00 am - 2:00 am,None,Dinner,No,Yes,No,None,Yes,No,Yes,11:00 am - 12:00 am,None,Average,None,No,"Street,PrivateLot",11:00 am - 2:00 am,No,Closed,Yes,Yes,11:00 am - 2:00 am,11:00 am - 12:00 am,Yes,11:00 am - 12:00 am,No,Free,MI Detroit Bricktown,Claimed,None,jacobys-german-biergarten-detroit,42.3322901,-83.041867,2.0,4.0,grand-trunk-pub-detroit-2,anchor-bar-detroit,the-old-shillelagh-detroit,217,"German,Pubs",Jacoby’s German Biergarten,https://www.yelp.com/biz/jacobys-german-biergarten-detroit?osq=food
None,No,None,Yes,None,FullBar,Casual,Casual,"Tue,Wed,Sun",Yes,None,None,Yes,No,No,None,None,11:00 am - 2:00 am,None,"Lunch,Dinner,LateNight",No,Yes,No,None,Yes,No,Yes,11:00 am - 2:00 am,JukeBox,Average,None,No,Street,11:00 am - 2:00 am,No,12:00 pm - 2:00 am,Yes,No,11:00 am - 2:00 am,11:00 am - 2:00 am,Yes,11:00 am - 2:00 am,No,No,MI Detroit Bricktown,Unclaimed,None,sweetwater-tavern-detroit,42.3316661,-83.0417122,2.0,3.5,grand-trunk-pub-detroit-2,jacobys-german-biergarten-detroit,joe-muer-seafood-detroit,333,"American(New),Bars,American(Traditional)",Sweetwater Tavern,https://www.yelp.com/biz/sweetwater-tavern-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bricktown,Unclaimed,None,food-plaza-detroit-2,42.3315166,-83.0420078,None,5.0,food-plaza-detroit-2,university-village-market-detroit-2,rite-aid-detroit-5,1,ConvenienceStores,Food Plaza,https://www.yelp.com/biz/food-plaza-detroit-2?osq=food
None,No,None,Yes,None,None,None,None,None,Yes,None,None,None,None,None,None,None,7:00 am - 2:00 am,None,None,None,None,None,None,None,None,None,7:00 am - 2:00 am,None,None,None,None,None,7:00 am - 2:00 am,None,7:00 am - 12:00 am,Yes,None,7:00 am - 2:00 am,7:00 am - 2:00 am,None,7:00 am - 2:00 am,None,None,MI Detroit Bricktown,Unclaimed,None,city-market-detroit,42.3315748,-83.0418196,2.0,4.5,forest-liquor-detroit,honey-bee-la-colmena-detroit,e-and-l-supermercado-detroit,8,"Beer,Wine&Spirits,Grocery,MeatShops",City Market,https://www.yelp.com/biz/city-market-detroit?osq=food
None,None,None,Yes,None,None,None,Casual,None,No,None,None,None,None,No,None,None,11:00 am - 4:00 pm,None,None,None,Yes,No,None,None,None,Yes,11:00 am - 2:00 am,None,None,None,Yes,None,11:00 am - 4:00 pm,None,11:00 am - 2:00 am,Yes,Yes,11:00 am - 2:00 am,11:00 am - 2:00 am,None,11:00 am - 2:00 am,None,None,MI Detroit Bricktown,Unclaimed,None,locos-tex-mex-grille-detroit,42.3337585159,-83.0420716063,2.0,2.5,mexicantown-detroit,los-galanes-detroit,mexican-town-restaurant-detroit,16,Tex-Mex,Loco’s Tex-Mex Grille,https://www.yelp.com/biz/locos-tex-mex-grille-detroit?osq=food
None,No,None,Yes,None,FullBar,Casual,Casual,None,Yes,None,None,Yes,None,No,None,None,10:00 am - 4:00 am,None,"Dinner,LateNight",None,Yes,Yes,None,None,None,Yes,10:00 am - 2:00 am,None,Average,None,Yes,Street,10:00 am - 4:00 am,None,10:00 am - 2:00 am,Yes,No,10:00 am - 2:00 am,10:00 am - 2:00 am,Yes,10:00 am - 2:00 am,Yes,No,MI Detroit Bricktown,Claimed,None,nikis-pizza-detroit,42.3337210607,-83.0420018627,2.0,3.5,pizzapapalis-detroit,plakas-detroit,golden-fleece-restaurant-detroit,144,"Pizza,Greek",Niki’s Pizza,https://www.yelp.com/biz/nikis-pizza-detroit?osq=food
